id;adresse;type;nom
1;deposit Internal;Investment Account archive Fantastic Plastic Chicken;payment
2;withdrawal COM;embrace Developer;synthesize Idaho compress
3;Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana
4;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual
5;Refined Squares;maroon;EXE projection Fresh
6;support Gorgeous;withdrawal;copying
7;ability Hat Iraq;magenta Concrete;User-centric Gloves
8;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance
9;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar
10;Berkshire Designer;Credit Card Account;navigate
